[CSG, ATL, Columbus, GA, Atlanta, GA, 1862, 3038, 31, 83.0, 199207, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 23, 142, 1, 83.0, 199203, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3283, 7938, 81, 83.0, 199202, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 251, 284, 2, 83.0, 199206, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3709, 5885, 55, 83.0, 199206, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 25, 142, 1, 83.0, 199210, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1809, 3038, 31, 83.0, 199206, 275045, 3245141]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1094, 3450, 25, 83.0, 199310, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1676, 3210, 30, 83.0, 199307, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 779, 3550, 25, 83.0, 199303, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3543, 6096, 58, 83.0, 199311, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2173, 5608, 40, 83.0, 199309, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3489, 6090, 203, 83.0, 199312, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2759, 4644, 44, 83.0, 199309, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3768, 6195, 59, 83.0, 199312, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3396, 8650, 61, 83.0, 199308, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2812, 5992, 56, 83.0, 199302, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3548, 6180, 206, 83.0, 199309, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 26, 149, 1, 83.0, 199309, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 68, 97, 1, 83.0, 199308, 276628, 3339551]
